branch_label,branch_rank,branch_member_role,role_reason,branch_core_score,semantic_similarity_to_branch,semantic_local_score,recency_score,trunk_connection_score,assignment_confidence,branch_to_trunk_score,parent_trunk_subtopic_id,metadata_quality,has_direct_topic_signal,is_methodological_or_background,has_bibliographic_warning,reference_novelty,novelty_supported,node_id,year,title,journal,source_title,branch_top_terms
branch_1,1,core,direct topical signal and strong branch fit,0.8028486179291947,0.45471401760606817,0.9618901965508725,1.0,0.10951759826879251,weak,0.051469,trunk_subtopic_2,title_only,True,False,False,,False,"CRICK JM, 2025, INT J ENTREP BEHAV R",2025,COOPETITION AND THE MARKETING/ENTREPRENEURSHIP INTERFACE IN AN INTERNATIONAL ARENA,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR & RESEARCH,INT J ENTREP BEHAV R,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,2,core,direct topical signal and strong branch fit,0.8316776425944941,0.31358771293241994,0.6633552851889883,1.0,1.0,strong,0.469961,trunk_subtopic_3,complete,True,False,False,0.954935,True,"CHEN YH, 2024, SUSTAINABILITY-BASEL",2024,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,SUSTAINABILITY,SUSTAINABILITY-BASEL,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,3,core,direct topical signal and strong branch fit,0.8320036607436566,0.47120969454659983,0.9967847221652418,1.0,0.1680564983051785,weak,0.07898,trunk_subtopic_2,title_only,True,False,False,,False,"ALAREENI B, 2025, J STRATEG MARK",2025,MARKETING AND ENTREPRENEURSHIP: CHALLENGES AND OPPORTUNITIES,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,4,core,direct topical signal and strong branch fit,0.7864039667392255,0.2721834954965049,0.5757698813847668,1.0,0.9925951302342109,strong,0.466481,trunk_subtopic_3,complete,True,False,False,0.966067,True,"CHOU WC, 2023, NTU MANAG REV",2023,HOW ENTREPRENEURIAL MARKETING FACILITATES DIRECT SELLERS' ENTREPRENEURIAL PROCESS: A DYNAMIC ADJUSTMENT PERSPECTIVE,NTU MANAGEMENT REVIEW,NTU MANAG REV,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,5,peripheral,related to branch but weaker as a defining paper,0.6444254796410722,0.31637279692037173,0.6692467793608318,1.0,0.04901044980328155,weak,0.023033,trunk_subtopic_2,title_only,False,False,False,,False,"MAYUTO R, 2023, FRONT PSYCHOL",2023,ANTECEDENTS OF IMMIGRANTS’ ENTREPRENEURIAL INTENTION FORMATION PROCESS: AN EMPIRICAL STUDY OF IMMIGRANT ENTREPRENEURS IN CANADA,FRONTIERS IN PSYCHOLOGY,FRONT PSYCHOL,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,6,core,direct topical signal and strong branch fit,0.7796669262859849,0.4184176575153506,0.8851098212161763,1.0,0.18556007838948338,moderate,0.087206,trunk_subtopic_3,title_only,True,False,False,,False,"AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY",2023,A CONCEPTUAL REVIEW ON ENTREPRENEURIAL MARKETING AND BUSINESS SUSTAINABILITY IN SMALL AND MEDIUM ENTERPRISES,WORLD DEVELOPMENT SUSTAINABILITY,WORLD DEVELOPMENT SUSTAINABILITY,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,7,core,direct topical signal and strong branch fit,0.8449586242262657,0.4727296517176004,1.0,1.0,0.2247931211313279,moderate,0.105644,trunk_subtopic_1,title_only,True,False,False,,False,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH",2022,ENTREPRENEURIAL MARKETING AND ORGANIZATIONAL ENTREPRENEURSHIP PERFORMANCE OF SMALL AND MEDIUM ENTERPRISES: A SYSTEMATIC REVIEW,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,8,missing_metadata,title/text information is insufficient for interpretation,0.3,0.0,0.0,1.0,0.0,unassigned,0.0,trunk_subtopic_2,weak,False,False,False,,False,"NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL",2022,,,ACADEMY OF STRATEGIC MANAGEMENT JOURNAL,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,9,peripheral,related to branch but weaker as a defining paper,0.6701189948435978,0.3310381884102205,0.7002695667755073,1.0,0.09992105727922104,weak,0.046959,trunk_subtopic_3,title_only,False,False,False,,False,"BUCCIERI D, 2022, IND MARKET MANAG",2022,EXAMINING THE FORMATION OF ENTREPRENEURIAL RESOURCES IN EMERGING MARKET INTERNATIONAL NEW VENTURES,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,10,missing_metadata,title/text information is insufficient for interpretation,0.0,0.0,0.0,0.0,0.0,unassigned,0.0,trunk_subtopic_2,weak,False,False,False,,False,"LI E, 2021, SUSTAINABILITY-BASEL",2021,,,SUSTAINABILITY-BASEL,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,11,background_methodological,methodological or background-oriented title/source,0.4298390529610616,0.3868923075823245,0.8184219165787522,0.0,0.10314047335842762,weak,0.048472,trunk_subtopic_2,title_only,False,True,False,,False,"CRICK JM, 2021, J STRATEG MARK",2021,QUALITATIVE RESEARCH IN MARKETING: WHAT CAN ACADEMICS DO BETTER?,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,12,peripheral,related to branch but weaker as a defining paper,0.3087243104316972,0.28627339839078586,0.6055752952044567,0.0,0.029683314147344143,weak,0.01395,trunk_subtopic_3,title_only,False,False,False,,False,"SCHWEIGER SA, 2019, STRATEGIC MANAGE J",2019,THE COMPLEMENTARITY OF STRATEGIC ORIENTATIONS: A META‐ANALYTIC SYNTHESIS AND THEORY EXTENSION,STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,13,missing_metadata,title/text information is insufficient for interpretation,0.0,0.0,0.0,0.0,0.0,unassigned,0.0,trunk_subtopic_2,weak,False,False,False,,False,"CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH",2018,,,JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,14,peripheral,related to branch but weaker as a defining paper,0.38797093979559016,0.35950715939730304,0.7604920869488121,0.0,0.03862448160592049,weak,0.018152,trunk_subtopic_2,title_only,False,False,False,,False,"ARLI D, 2018, IND MARKET MANAG",2018,"RELATIONAL SELLING: PAST, PRESENT AND FUTURE",INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_1,15,missing_metadata,title/text information is insufficient for interpretation,0.0,0.0,0.0,0.0,0.0,unassigned,0.0,trunk_subtopic_2,weak,False,False,False,,False,"REZAEI R, 2017, J AGR SCI TECH-IRAN",2017,,,J AGR SCI TECH-IRAN,marketing; entrepreneurship; challenges; entrepreneurial; international; selling; opportunities; academics; past; present; relational; formation
branch_2,1,core,direct topical signal and strong branch fit,0.8984782421709641,0.40509920042294284,0.7978507654758932,1.0,0.9977642971650876,strong,0.487102,trunk_subtopic_2,complete,True,False,False,0.957087,True,"KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN",2025,DOES ETHICAL CLIMATE OF THE ORGANIZATION FOSTER ENTREPRENEURIAL MARKETING? THE ROLE OF WORK ENGAGEMENT AND EFFECTIVE KNOWLEDGE TRANSFER,VINE JOURNAL OF INFORMATION AND KNOWLEDGE MANAGEMENT SYSTEMS,VINE J INF KNOWL MAN,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,2,core,direct topical signal and strong branch fit,0.7579869755897181,0.380013383579392,0.7019992630445273,1.0,0.5349367203372717,strong,0.262489,trunk_subtopic_3,complete,True,False,False,0.975994,True,"KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J",2025,"THE INTERSECTION OF RESPONSIBLE LEADERSHIP AND ENTREPRENEURIAL MARKETING: THE ROLES OF ETHICAL CLIMATE, EFFECTIVE KNOWLEDGE TRANSFER AND PERSON-ORGANIZATION FIT",SOCIAL RESPONSIBILITY JOURNAL,SOC RESPONSIB J,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,3,peripheral,related to branch but weaker as a defining paper,0.4227369402657196,0.2552271411387724,0.22519801334661155,1.0,0.05068966796206929,weak,0.027481,trunk_subtopic_1,title_only,False,False,False,,False,"RIGGS R, 2024, J BUS RES",2024,INFORMATION SYSTEMS CAPABILITIES VALUE CREATION THROUGH CIRCULAR ECONOMY PRACTICES IN UNCERTAIN ENVIRONMENTS: A CONDITIONAL MEDIATION MODEL,JOURNAL OF BUSINESS RESEARCH,J BUS RES,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,4,core,direct topical signal and strong branch fit,0.6600274117699793,0.37644598262503165,0.6883684236190838,1.0,0.07921599980218666,weak,0.041325,trunk_subtopic_3,title_only,True,False,False,,False,"MAKHLOUFI L, 2024, J RES MARK ENTREP",2024,MEDIATING EFFECT OF ABSORPTIVE CAPACITY ON THE RELATIONSHIP BETWEEN KNOWLEDGE SHARING AND ENTREPRENEURIAL ORIENTATION AND THE MODERATING ROLE OF OPPORTUNITY RECOGNITION,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,5,peripheral,related to branch but weaker as a defining paper,0.6128767624669852,0.35878190029770074,0.6208749534759626,1.0,0.012196428645019845,weak,0.0088,trunk_subtopic_1,title_only,False,False,False,,False,"MARQUES T, 2023, LEADERSH HEALTH SERV",2023,RESPONSIBLE LEADERSHIP AND TURNOVER INTENTIONS IN HEALTH-CARE PROFESSIONALS: THE MEDIATING ROLE OF BURNOUT,LEADERSHIP IN HEALTH SERVICES,LEADERSH HEALTH SERV,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,6,core,direct topical signal with strong/moderate trunk connection,0.2,0.19628934701927217,0.0,0.0,1.0,strong,0.488187,trunk_subtopic_2,complete,True,False,False,0.950117,True,"PETRYLAITE E, 2021, J RES MARK ENTREP",2021,ENTREPRENEURIAL MARKETING LEARNING STYLES USED BY ENTREPRENEURIAL TEAMS,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,7,peripheral,related to branch but weaker as a defining paper,0.33745991515926566,0.37292627829298286,0.6749198303185313,0.0,0.0,weak,0.002881,trunk_subtopic_1,title_only,False,False,False,,False,"YASIN R, 2021, J KNOWL MANAG",2021,RESPONSIBLE LEADERSHIP AND EMPLOYEES’ TURNOVER INTENTION. EXPLORE THE MEDIATING ROLES OF ETHICAL CLIMATE AND CORPORATE IMAGE,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,8,background_methodological,methodological or background-oriented title/source,0.18460711344768982,0.2922072045010397,0.36649676615926674,0.0,0.006793651840282215,weak,0.006178,trunk_subtopic_1,title_only,False,True,False,,False,"KANG H, 2021, ASIAN NURS RES",2021,MODEL SETTING AND INTERPRETATION OF RESULTS IN RESEARCH USING STRUCTURAL EQUATION MODELING: A CHECKLIST WITH GUIDING QUESTIONS FOR REPORTING,ASIAN NURSING RESEARCH,ASIAN NURS RES,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,9,peripheral,related to branch but weaker as a defining paper,0.46579340954113724,0.4354682276302607,0.9138891190744444,0.0,0.04424425001957528,weak,0.024353,trunk_subtopic_1,title_only,False,False,False,,False,"HALISAH A, 2021, J KNOWL MANAG",2021,SOCIAL DILEMMAS IN KNOWLEDGE SHARING: AN EXAMINATION OF THE INTERPLAY BETWEEN KNOWLEDGE SHARING CULTURE AND PERFORMANCE CLIMATE,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,10,peripheral,related to branch but weaker as a defining paper,0.27101454302683065,0.3346731153560709,0.528756635270032,0.0,0.03318112695907324,weak,0.018984,trunk_subtopic_2,title_only,False,False,False,,False,"TEO STT, 2020, INT J HOSP MANAG",2020,"PSYCHOSOCIAL WORK ENVIRONMENT, WORK ENGAGEMENT, AND EMPLOYEE COMMITMENT: A MODERATED, MEDIATION MODEL",INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,INT J HOSP MANAG,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,11,peripheral,related to branch but weaker as a defining paper,0.5130255962217652,0.4580047735616307,1.0,0.0,0.06512798110882619,weak,0.034488,trunk_subtopic_1,title_only,False,False,False,,False,"MUHAMMED S, 2020, J KNOWL MANAG",2020,PEER KNOWLEDGE SHARING AND ORGANIZATIONAL PERFORMANCE: THE ROLE OF LEADERSHIP SUPPORT AND KNOWLEDGE MANAGEMENT SUCCESS,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,12,background_methodological,methodological or background-oriented title/source,0.11478725290319713,0.2535577150699477,0.21881922975375942,0.0,0.026888190131587084,weak,0.01593,trunk_subtopic_1,title_only,False,True,False,,False,"KIM W, 2020, APPL ERGON",2020,FACTORS AFFECTING TRUST IN HIGH-VULNERABILITY HUMAN-ROBOT INTERACTION CONTEXTS: A STRUCTURAL EQUATION MODELLING APPROACH,APPLIED ERGONOMICS,APPL ERGON,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,13,peripheral,related to branch but weaker as a defining paper,0.26036977005310574,0.3312711565060951,0.5157579408677928,0.0,0.012453998096046621,weak,0.008925,trunk_subtopic_1,title_only,False,False,False,,False,"BJORVATN T, 2020, J KNOWL MANAG",2020,THE IMPACT OF TIME PRESSURE ON KNOWLEDGE TRANSFER EFFECTIVENESS IN TEAMS: TRUST AS A CRITICAL BUT FRAGILE MEDIATOR,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,14,peripheral,related to branch but weaker as a defining paper,0.3471348840370666,0.36802069326640574,0.6561758644339557,0.0,0.09523475910044384,weak,0.049099,trunk_subtopic_1,title_only,False,False,False,,False,"PASCHEN J, 2019, J BUS IND MARK",2019,ARTIFICIAL INTELLIGENCE (AI) AND ITS IMPLICATIONS FOR MARKET KNOWLEDGE IN B2B MARKETING,JOURNAL OF BUSINESS AND INDUSTRIAL MARKETING,J BUS IND MARK,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_2,15,peripheral,related to branch but weaker as a defining paper,0.28795582430053446,0.34539194226866443,0.5697126731093173,0.0,0.01549743872937899,weak,0.010402,trunk_subtopic_2,title_only,False,False,False,,False,"MULKI J, 2019, J BUS RES",2019,JOINT IMPACT OF ETHICAL CLIMATE AND EXTERNAL WORK LOCUS OF CONTROL ON JOB MEANINGFULNESS,JOURNAL OF BUSINESS RESEARCH,J BUS RES,knowledge; sharing; work; climate; leadership; model; role; mediating; ethical; artificial; intelligence; turnover
branch_3,1,core,direct topical signal and strong branch fit,0.806696826005096,0.4154653952936713,0.8020586777135938,1.0,0.5283374357414948,strong,0.257145,trunk_subtopic_3,complete,True,False,False,0.951571,True,"FILLIS I, 2023, J RES MARK ENTREP",2023,ASSESSING THE NOTION OF ART AS A PRODUCT: ENTREPRENEURIAL MARKETING INSIGHTS FROM THE VISUAL ARTS,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,2,core,direct topical signal and strong semantic fit,0.44322565741315256,0.26110473702461695,0.5040644118499704,0.0,0.9559672574408369,strong,0.465275,trunk_subtopic_2,complete,True,False,False,0.950996,True,"FILLIS I, 2021, ARTS MARK",2021,ART COLLECTING AS CONSUMPTION AND ENTREPRENEURIAL MARKETING AS STRATEGY,ARTS AND THE MARKET,ARTS MARK,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,3,missing_metadata,title/text information is insufficient for interpretation,0.0,0.0,0.0,0.0,0.0,unassigned,0.0,trunk_subtopic_2,weak,False,False,False,,False,"LEHMAN K, 2020, HDB ENTREPRENEURSHIP",2020,,,HDB ENTREPRENEURSHIP,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,4,peripheral,related to branch but weaker as a defining paper,0.34961666002665737,0.3622019881969203,0.6992333200533147,0.0,0.0,unassigned,0.0,trunk_subtopic_2,title_only,False,False,False,,False,"ALEXIOU K, 2020, NONPROF VOLUNT SEC Q",2020,CROWDFUNDING ACTS AS A FUNDING SUBSTITUTE AND A LEGITIMATING SIGNAL FOR NONPROFIT PERFORMING ARTS ORGANIZATIONS,NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,NONPROF VOLUNT SEC Q,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,5,core,direct topical signal and strong branch fit,0.6295424355393168,0.44500489237390844,0.8590848710786335,0.0,1.0,strong,0.486706,trunk_subtopic_2,complete,True,False,False,0.963905,True,"FILLIS I, 2017, J VACAT MARK",2017,THE MUSEUM OF OLD AND NEW ART: LEVERAGING ENTREPRENEURIAL MARKETING TO CREATE A UNIQUE ARTS AND VACATION VENTURE,JOURNAL OF VACATION MARKETING,J VACAT MARK,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,6,peripheral,related to branch but weaker as a defining paper,0.35262114410923023,0.3605738306485349,0.6960901511993977,0.0,0.022880342547657105,weak,0.011136,trunk_subtopic_2,title_only,False,False,False,,False,"BOOTH K, 2017, VISIT STUD",2017,"IT'S A MUSEUM, BUT NOT AS WE KNOW IT: ISSUES FOR LOCAL RESIDENTS ACCESSING THE MUSEUM OF OLD AND NEW ART",VISITOR STUDIES,VISIT STUD,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,7,peripheral,related to branch but weaker as a defining paper,0.3939681981066764,0.4022355710059732,0.7765184149269088,0.0,0.02854495321610993,weak,0.013893,trunk_subtopic_3,title_only,False,False,False,,False,"FIGUEIREDO B, 2016, J CONSUM RES",2016,THE SYSTEMIC CREATION OF VALUE THROUGH CIRCULATION IN COLLABORATIVE CONSUMER NETWORKS,JOURNAL OF CONSUMER RESEARCH,J CONSUM RES,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,8,core,direct topical signal and adequate thematic fit,0.2313383070352334,0.20848504641810459,0.40248175310717477,0.0,0.15048715240823002,weak,0.073243,trunk_subtopic_2,complete,True,False,False,,False,"FILLIS I, 2015",2015,THE ARTIST AS MARKETER AND ENTREPRENEUR,,,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,9,core,direct topical signal and strong semantic fit,0.526631272267036,0.517998753505201,1.0,0.0,0.13315636133517977,weak,0.064808,trunk_subtopic_3,title_only,True,False,False,,False,"LEHMAN K, 2014, J RES MARK ENTREP",2014,THE ART OF ENTREPRENEURIAL MARKET CREATION,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,10,missing_metadata,title/text information is insufficient for interpretation,0.0,0.0,0.0,0.0,0.0,unassigned,0.0,trunk_subtopic_2,weak,False,False,True,,False,"FROST V, 2014, THEGUARDIAN",2014,,,THEGUARDIAN,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,11,peripheral,related to branch but weaker as a defining paper,0.36084783315266006,0.3561871875749127,0.6876217078992187,0.0,0.08518489601525354,weak,0.04146,trunk_subtopic_3,title_only,False,False,False,,False,"CROSSICK G, 2014, CULT TRENDS",2014,UNDER CONSTRUCTION: TOWARDS A FRAMEWORK FOR CULTURAL VALUE,CULTURAL TRENDS,CULT TRENDS,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,12,peripheral,related to branch but weaker as a defining paper,0.3376138608952408,0.3286165969015035,0.6343965013000828,0.0,0.1020780512259968,weak,0.049682,trunk_subtopic_1,title_only,False,False,False,,False,"ROXAS B, 2013, TOURISM MANAGE",2013,EFFECTS OF FORMAL INSTITUTIONS ON THE PERFORMANCE OF THE TOURISM SECTOR IN THE PHILIPPINES: THE MEDIATING ROLE OF ENTREPRENEURIAL ORIENTATION,TOURISM MANAGEMENT,TOURISM MANAGE,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,13,missing_metadata,title/text information is insufficient for interpretation,0.0,0.0,0.0,0.0,0.0,unassigned,0.0,trunk_subtopic_2,weak,False,False,False,,False,"KIRCHNER TA, 2013, SOCIAL BUSINESS",2013,,,SOCIAL BUSINESS,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,14,core,direct topical signal and strong semantic fit,0.4708791051960691,0.45675429420222585,0.8817671685722306,0.0,0.14997760454976927,weak,0.072995,trunk_subtopic_2,title_only,True,False,False,,False,"KIRCHNER T, 2013",2013,ENTREPRENEURIAL MARKETING OF NONPROFIT ARTS ORGANISATIONS,SOCIAL BUSINESS,,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
branch_3,15,background_methodological,methodological or background-oriented title/source,0.31147862641281393,0.3028675221161241,0.5846877431010713,0.0,0.09567377431139128,weak,0.046565,trunk_subtopic_1,title_only,False,True,False,,False,"HALLAK R, 2012, TOURISM MANAGE",2012,THE PLACE IDENTITY – PERFORMANCE RELATIONSHIP AMONG TOURISM ENTREPRENEURS: A STRUCTURAL EQUATION MODELLING ANALYSIS,TOURISM MANAGEMENT,TOURISM MANAGE,art; creation; entrepreneurial; arts; nonprofit; value; tourism; market; museum; organisations; under; construction
