leaf_rank,frontier_rank,leaf_type,target_leaves,node_id,title,abstract,year,journal,source_title,doi,cited_by,has_article_metadata,leaf_connection_score,sap_rank,internal_indegree,internal_outdegree,has_title_abstract
1,,sap_leaf,100,"CHOOSET N, 2025, COGENT BUS MANAG",DEVELOPING ENTREPRENEURIAL MARKETING DIMENSIONS FOR SMES IN THE DIGITAL ERA: A GROUNDED THEORY APPROACH,"CONVENTIONAL ENTREPRENEURIAL MARKETING PRINCIPLES, FORMULATED IN DEVELOPED NATIONS, MAY INSUFFICIENTLY FACE THE DIGITAL-ERA CHALLENGES ENCOUNTERED BY SMALL AND MEDIUM-SIZED ENTERPRISES (SMES) IN DEVELOPING COUNTRIES. THIS RESEARCH SEEKS TO ESTABLISH A NOVEL CONCEPTUAL FRAMEWORK THAT IS MORE APPROPRIATE FOR THE CHALLENGES OF THE DIGITAL ERA, EMPLOYING A QUALITATIVE STUDY GROUNDED IN THEORY METHODOLOGY. COMPREHENSIVE INTERVIEWS WERE PERFORMED WITH 30 ENTREPRENEURS FROM FIVE REGIONS OF THAILAND, REPRESENTING MICRO, SMALL, AND MEDIUM-SIZED ENTERPRISES IN THE AGRICULTURAL, SERVICE, MANUFACTURING, AND TRADING SECTORS. THE RESEARCH PRODUCED THREE NOTABLE FINDINGS: (1) THE EXTENSION OF ENTREPRENEURIAL MARKETING COMPONENTS FROM TWO CONVENTIONAL DIMENSIONS (ENTREPRENEURIAL ORIENTATION AND MARKET ORIENTATION) TO FOUR DIMENSIONS BY INTEGRATING NETWORKING CAPABILITIES AND DIGITAL LITERACY; (2) THE ESTABLISHMENT OF NEW METRICS THAT ILLUSTRATE THE AMALGAMATION OF TRADITIONAL METHODOLOGIES WITH DIGITAL TECHNOLOGIES, INCLUDING THE USE OF ONLINE DATA FOR IDENTIFYING BUSINESS OPPORTUNITIES, FOSTERING CUSTOMER RELATIONSHIPS THROUGH ONLINE COMMUNITIES, AND CREATING PRODUCTS INFORMED BY DIGITAL DATA ANALYTICS; AND (3) THE FORMULATION OF SPECIFIC PRACTICAL GUIDELINES AIMED AT IMPROVING THE MARKETING CAPABILITIES OF SMES, ESPECIALLY IN CULTIVATING COLLABORATIVE NETWORKS AND ENHANCING DIGITAL SKILLS. THIS RESEARCH EXPANDS THE THEORETICAL FRAMEWORK OF ENTREPRENEURIAL MARKETING AND OFFERS PRACTICAL GUIDELINES FOR THE DEVELOPMENT OF SMES IN DEVELOPING NATIONS.",2025.0,COGENT BUSINESS & MANAGEMENT,COGENT BUS MANAG,10.1080/23311975.2025.2480748,2.0,True,367907,135386595043,0,95,
2,,sap_leaf,100,"YANG M, 2025, INT BUS REV",TURNING DECISION-MAKING LOGIC INTO INTERNATIONAL PERFORMANCE AMONG SMES: REVEALING THE IMPORTANCE OF INTERNATIONAL ENTREPRENEURIAL MARKETING,"THE INTERNATIONAL BUSINESS FIELD LACKS RESEARCH ON HOW DECISION-MAKING LOGICS LEAD TO SMES' INTERNATIONAL PERFORMANCE AND WHAT MECHANISMS ARE INVOLVED. THIS STUDY EXAMINES THE RELATIONSHIP BETWEEN DECISION-MAKING LOGICS (EFFECTUATION AND CAUSATION) AND INTERNATIONAL PERFORMANCE OF SMES AND CONTRIBUTES BY HIGHLIGHTING THE CRUCIAL ROLE OF INTERNATIONAL ENTREPRENEURIAL MARKETING. WE USED STRUCTURAL EQUATION PARTIAL LEAST SQUARES IN THE EMPIRICAL STUDY WITH A CROSS-COUNTRY SAMPLE OF 489 INTERNATIONALIZING SMES FROM CHINA, FINLAND, AND NEW ZEALAND. THE RESULTS REVEAL THAT INTERNATIONAL ENTREPRENEURIAL MARKETING FULLY MEDIATES THE POSITIVE EFFECTUATION-PERFORMANCE RELATIONSHIP AND THE MEDIATION EFFECT IS STRONGER AMONG SMES FROM DEVELOPING MARKETS AND OFFERING SERVICES. WE SHOW THAT INTERNATIONAL ENTREPRENEURIAL MARKETING PARTIALLY MEDIATES THE POSITIVE CAUSATION-PERFORMANCE RELATIONSHIP AND THE MEDIATION EFFECT IS STRONGER AMONG SMES FROM DEVELOPED MARKETS AND AMONG THOSE THAT OFFER PRODUCTS.",2025.0,INTERNATIONAL BUSINESS REVIEW,INT BUS REV,10.1016/j.ibusrev.2025.102457,1.0,True,165056,27257392934,0,97,
3,,sap_leaf,100,"CAPELI CMD, 2025, J SMALL BUS ENTERP D",THE MUTUAL INFLUENCE BETWEEN ENTREPRENEURIAL MARKETING AND CAUSAL AND EFFECTUAL ENTREPRENEURSHIP: AN EMPIRICAL STUDY IN AN EMERGING AND DEVELOPING ECONOMY,"PURPOSE - ENTREPRENEURIAL MARKETING (EM) LITERATURE HAS EVOLVED RECENTLY, BUT MORE UNDERSTANDING IS NEEDED ON HOW THE SEVEN DIMENSIONS OF EM IMPACT CAUSAL AND EFFECTUAL ENTREPRENEURIAL BEHAVIOR AND, SIMILARLY, HOW ENTREPRENEURIAL BEHAVIOR INFLUENCES THE RESULTS OF ALL DIMENSIONS OF THE EM CONSTRUCT. THIS STUDY INVESTIGATES THE ASSOCIATION AND MUTUAL INFLUENCE BETWEEN EM AND ENTREPRENEURSHIP. DESIGN/METHODOLOGY/APPROACH - THIS STUDY USES A QUALITATIVE STRATEGY, ADDRESSING GAPS DUE TO ITS LOW INCIDENCE AND EMPLOYS THEORETICAL REPLICATION, WHICH IS PRACTICALLY UNEXPLORED. IT INVESTIGATES TWO CASES IN BRAZIL: SMALL COMPANIES (EIGHT CASES SELECTED BY LITERAL REPLICATION) AND A STRUCTURED NETWORK OF COMPANIES (ONE CASE SELECTED BY THEORETICAL REPLICATION), PREDICTING A POSITIVE INFLUENCE OF EM IN THE FIRST CASE AND A NEGATIVE OR NEUTRAL INFLUENCE IN THE SECOND.<BR /> FINDINGS - THE INFLUENCE OF EM ON ENTREPRENEURSHIP IS CONTEXT-DEPENDENT AND VARIES ACCORDING TO THE EMPIRICAL OBJECT. IN TURN, THE IMPACT OF ENTREPRENEURSHIP ON THE RESULTS OF THE EM DIMENSIONS IS MORE STABLE, PRIMARILY CAUSAL AND VARIES SLIGHTLY BETWEEN STRUCTURES.<BR /> ORIGINALITY/VALUE - FIRST, BY STUDYING HOW THE DIMENSIONS OF EM IMPACT CAUSAL/EFFECTUAL BEHAVIOR, THIS STUDY BROADENS THE UNDERSTANDING OF THE AREA, WHICH WAS PREVIOUSLY FOCUSED ON ONLY A FEW DIMENSIONS. SECOND, BY INVESTIGATING THE IMPACT OF ENTREPRENEURSHIP ON EM OUTCOMES, THIS STUDY SHEDS LIGHT ON THE INFLUENCE OF AND DIFFERENCES IN CAUSAL/EFFECTUAL BEHAVIOR IN EACH OF THE SEVEN DIMENSIONS. FINALLY, IT EXTENDS THE UNDERSTANDING OF EM AND ENTREPRENEURSHIP IN SMALL BUSINESSES AND A STRUCTURED NETWORK BY IDENTIFYING SIMILARITIES AND DISTINCTIONS HITHERTO UNEXPLORED.",2025.0,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,J SMALL BUS ENTERP D,10.1108/JSBED-04-2024-0197,1.0,True,153964,23717889800,0,41,
4,,sap_leaf,100,"QUINTERO-ARANGO LF, 2024, CLIO AM",ENTREPRENEURIAL MARKETING IN ACTION: MULTIDIMENSIONAL IMPACT AND SECTORAL APPLICATIONS,"THIS ARTICLE AIMS TO IDENTIFY THE DYNAMICS OF SCIENTIFIC PRODUCTION ON ENTREPRENEURIAL MARKETING (EM) AND ITS INFLUENCE ON ORGANIZATIONAL PERFORMANCE; RESEARCHERS CONDUCTED TWO CONSULTATIONS FOR THIS OBJECTIVE, ONE IN SCOPUS AND ANOTHER IN WEB OF SCIENCE. THE RESULTS SHOWED THAT IN THE LAST SEVEN YEARS, THERE HAS BEEN A 52 % GROWTH IN SCIENTIFIC PRODUCTION, HIGHLIGHTING ITS IMPORTANCE IN THE ACADEMIC AND BUSINESS WORLDS. RESEARCHERS IDENTIFIED THREE MAJOR TRENDS; THE FIRST CONCERNS THE VARIOUS METRICS USED TO MEASURE THE DIMENSIONS OF EM, THE SECOND PERTAINS TO APPLICATIONS OF EM IN DIFFERENT CONTEXTS, AND THE THIRD INVOLVES THE THEORETICAL FOUNDATIONS OF EM. THIS STUDY BENEFITS RESEARCHERS SEEKING A BETTER UNDERSTANDING OF EM, ENTREPRENEURS WHO DESIRE A STRAIGHTFORWARD INTRODUCTION TO THE SUBJECT FROM A SCIENTIFIC PERSPECTIVE, AND EDUCATORS WISHING TO INTEGRATE THE TOPIC OF EM INTO THEIR COURSES.",2024.0,CLIO AMERICA,CLIO AM,10.21676/23897848.5683,0.0,True,134027,17974524032,0,39,
5,,sap_leaf,100,"YADAV A, 2024, J ORGAN CHANGE MANAG",DEVELOPING AND VALIDATING A SCALE FOR ENTREPRENEURIAL MARKETING ORIENTATIONS: EMICO FRAMEWORK AND ITS IMPACT ON BUSINESS PERFORMANCE IN STARTUPS,"PURPOSEALTHOUGH MARKETING IS ESSENTIAL FOR A FIRM'S SURVIVAL AND GROWTH, A SET OF ENTREPRENEURIAL STRATEGIC ORIENTATIONS MAY HELP IT GAIN A COMPETITIVE ADVANTAGE. ENTREPRENEURIAL MARKETING (EM) IS CRITICAL FOR GROWING BUSINESSES TO SUCCEED IN TODAY'S FAST-PACED INDUSTRY. THE PRESENT STUDY AIMS TO MEASURE THE ROLE OF EM ON THE BUSINESS PERFORMANCE (BP) OF INDIAN STARTUPS.DESIGN/METHODOLOGY/APPROACHFOR THIS PURPOSE, A THOROUGH LITERATURE REVIEW WAS CONDUCTED TO DEVELOP A SCALE FROM THE PROPOSED CONCEPTUAL FRAMEWORK - EMICO BY JONES AND ROWLEY (2009B). TO ASSESS THE RELIABILITY AND VALIDITY OF THE SCALE (62 ITEMS), THE DATA ARE ANALYZED BY EMPLOYING PARTIAL LEAST SQUARE-STRUCTURAL EQUATION MODELING (PLS-SEM).FINDINGSTHE SCALE IS EMPIRICALLY TESTED, AND THE RESULTS LEAD TO DISCUSSIONS. THE RESULTS SHOW THE POSITIVE IMPACT OF ENTREPRENEURIAL ORIENTATION (EO), MARKETING ORIENTATION (MO), INNOVATION ORIENTATION (IO) AND CUSTOMER ORIENTATION (CO) ON THE BP OF THE STARTUPS. THE PAPER CONCLUDES BY SUGGESTING MANAGERIAL AND PRACTICAL IMPLICATIONS, ALSO PROVIDING FUTURE RESEARCH AGENDA.ORIGINALITY/VALUEOUR OBJECTIVE IS TO ADDRESS THE EXISTING DEARTH OF COMPREHENSIVE SCALES FOR EVALUATING EM BY UNDERTAKING A RIGOROUS STATISTICAL APPROACH. NOTABLY, OUR RESEARCH REPRESENTS THE PIONEERING EFFORT IN ADOPTING THE EMICO FRAMEWORK AND SUBSEQUENTLY FORMULATING AND EMPIRICALLY VALIDATING A ROBUST SCALE SPECIFICALLY TAILORED FOR NASCENT OR SMALL-SCALE STARTUPS WITHIN THE INDIAN CONTEXT.",2024.0,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,J ORGAN CHANGE MANAG,10.1108/JOCM-11-2023-0461,0.0,True,106386,11326951539,0,60,
6,,sap_leaf,100,"SULAIMAN MABA, 2024, DISCOV SUSTAIN",ENTREPRENEURIAL MARKETING AND PERFORMANCE: CONTINGENT ROLE OF MARKET TURBULENCE,"IN DEVELOPING COUNTRIES, ENTREPRENEURIAL FIRMS ARE INCREASINGLY ADVOCATING A SHIFT FROM CONVENTIONAL MARKETING STRATEGIES, PAVING THE WAY FOR INNOVATIVE APPROACHES LIKE ENTREPRENEURIAL MARKETING. THIS PAPER INVESTIGATES THE MODERATING ROLE OF MARKET TURBULENCE OVER THE IMPACT OF ENTREPRENEURIAL MARKETING OVER PERFORMANCE OF ENTREPRENEURIAL FIRMS. WE HAVE DEVELOPED THE FRAMEWORK WHILE TAKING THE SUPPORT OF CONTINGENCY PERSPECTIVE. WE ADOPTED A QUANTITATIVE RESEARCH METHODOLOGY AND COLLECTED THE DATA USING SURVEY TECHNIQUE FROM 384 ENTREPRENEURIAL FIRMS, AND THE MANAGERS AND OWNERS WERE CONTACTED FOR THE RESPONSES. THE COLLECTED DATA, AFTER ENSURING THE RELIABILITY AND VALIDITY HAS BEEN EVALUATED USING SMART PLS 3. STRUCTURAL EQUATION MODELLING HAS BEEN APPLIED TO EVALUATE THE RESEARCH FRAMEWORK. THE FINDINGS REVEALED THAT SIX OUT OF SEVEN IDENTIFIED CONSTRUCTS OF ENTREPRENEURIAL MARKETING HOLD A SIGNIFICANT IMPACT OVER PERFORMANCE OF ENTREPRENEURIAL FIRMS. ADDITIONALLY, THE MODERATING ROLE OF MARKET TURBULENCE HAS ALSO FOUND SIGNIFICANT WHICH IS THE MAJOR SIGNIFICANCE OF THE STUDY. THE PAPER ENDS UP BY IDENTIFYING THE LIMITATIONS FACED WHILE CONDUCTING RESEARCH AND GIVING RECOMMENDATIONS FOR FUTURE RESEARCHERS.",2024.0,DISCOVER SUSTAINABILITY,DISCOV SUSTAIN,10.1007/s43621-024-00710-8,26.0,True,103678,10757871610,0,49,
7,,sap_leaf,100,"RAHIMI A, 2026, J HOSP LEIS SPORT TO",ENTREPRENEURIAL MARKETING EDUCATION AND INTENTIONS IN SPORT: INVESTIGATING THE MODERATING EFFECT OF SPORTING CAPITAL,"AS SPORT INCREASINGLY INTERSECTS WITH ENTREPRENEURSHIP, UNDERSTANDING HOW SPORT STUDENTS TRANSLATE ENTREPRENEURIAL LEARNING INTO INTENTION BECOMES A PRESSING ACADEMIC AND PRACTICAL CONCERN. THIS STUDY EXPLORES THE EXTENT TO WHICH ENTREPRENEURIAL MARKETING EDUCATION (EME) SHAPES ENTREPRENEURIAL INTENTIONS (EI) AMONG SPORT SCIENCE STUDENTS, FOCUSING ON TWO KEY COGNITIVE PREDICTORS: PERCEIVED DESIRABILITY (PD) AND PERCEIVED FEASIBILITY (PF). DRAWING ON A NATIONAL SAMPLE OF 435 UNDERGRADUATES ACROSS IRANIAN UNIVERSITIES, STRUCTURAL EQUATION MODELING REVEALED THAT EME SIGNIFICANTLY ENHANCES BOTH PD AND PF-THOUGH NOT ALL PEDAGOGICAL ELEMENTS CONTRIBUTED EQUALLY. WHAT ELEVATES THIS RESEARCH IS ITS REVELATION OF SPORTING CAPITAL (SC) AS A DECISIVE MODERATING FORCE. CONCEPTUALIZED AS A MULTIDIMENSIONAL BLEND OF PHYSICAL ABILITY, PSYCHOLOGICAL RESILIENCE, AND SOCIAL CONNECTIVITY, SC NOT ONLY AMPLIFIES THE EFFECT OF EME, BUT DOES SO MORE POWERFULLY AMONG FEMALE STUDENTS-WHERE IT APPEARS TO COUNTERBALANCE STRUCTURAL AND CULTURAL BARRIERS THROUGH EMBODIED CONFIDENCE AND SOCIAL REINFORCEMENT. THESE FINDINGS REFRAME ENTREPRENEURSHIP EDUCATION AS A LIVED, CONTEXT-SENSITIVE PROCESS SHAPED NOT ONLY BY COGNITIVE FACTORS BUT BY SPORT-ROOTED EXPERIENCES. THEORETICALLY, THIS STUDY BRIDGES ENTREPRENEURIAL COGNITION WITH EMBODIED CAPITAL; PRACTICALLY, IT CALLS FOR LEARNING ENVIRONMENTS THAT ACTIVATE THE PHYSICAL, EMOTIONAL, AND RELATIONAL STRENGTHS OF SPORT STUDENTS IN PURSUIT OF ENTREPRENEURIAL FUTURES.",2026.0,JOURNAL OF HOSPITALITY LEISURE SPORT & TOURISM EDUCATION,J HOSP LEIS SPORT TO,10.1016/j.jhlste.2026.100598,0.0,True,76919,5923013969,0,34,
8,,sap_leaf,100,"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",UNPACKING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING ACTIVITIES AND SMALL FIRM PERFORMANCE,"PURPOSEA QUESTION REMAINS UNRESOLVED IN EXISTING CROSS-DISCIPLINARY RESEARCH AT THE MARKETING/ENTREPRENEURSHIP INTERFACE (MEI). THIS FEATURES CIRCUMSTANCES WHEN EMPLOYING A COMBINATION OF MARKET-ORIENTED AND ENTREPRENEURIALLY-ORIENTED ACTIVITIES, KNOWN AS ENTREPRENEURIAL MARKETING (EM) BEHAVIOR, IS LIKELY TO LEAD TO POSITIVE PERFORMANCE OUTCOMES. EARLIER MIXED FINDINGS PROVIDE THE NEED TO UNPACK THE NUANCES OF EM PRACTICES, IN TERMS OF THEIR BOUNDARY CONDITIONS, REGARDING CIRCUMSTANCES WHERE THIS BEHAVIOR DOES OR DOES NOT LEAD TO PERFORMANCE-ENHANCING OUTCOMES. CONSEQUENTLY, THE PURPOSE OF THIS STUDY IS TO EXAMINE THE COMPLEXITIES OF THE ASSOCIATION BETWEEN EM ACTIVITIES AND SMALL FIRM PERFORMANCE BY ASSESSING QUADRATIC AND MODERATING EFFECTS.DESIGN/METHODOLOGY/APPROACHTHIS STUDY WAS UNDERPINNED BY RESOURCE-BASED THEORY (RBT). SURVEY RESPONSES WERE COLLECTED FROM 214 SMALLER-SIZED COMPANIES IN THE UNITED KINGDOM. THE STATISTICAL DATA PASSED ALL MAJOR CHECKS FOR RELIABILITY, DIFFERENT FORMS OF VALIDITY, COMMON METHOD VARIANCE AND ENDOGENEITY BIAS.FINDINGSEM ACTIVITIES HAD A QUADRATIC CONNECTION WITH SMALL FIRM PERFORMANCE, WITH THIS RELATIONSHIP BEING ENHANCED (IN TERMS OF A POSITIVE TWO-WAY INTERACTION EFFECT) BY MARKET DYNAMISM (A COUNTER-INTUITIVE RESULT REGARDING ENVIRONMENTAL CONDITIONS). SURPRISINGLY, THROUGH A POST-HOC TEST, COOPETITION (COOPERATION AMONG COMPETITORS TO LEVERAGE ASSETS AND OVERCOME RESOURCE CONSTRAINTS) DID NOT PLAY ANY INFLUENTIAL PART IN HELPING OWNER-MANAGERS TO OVERCOME THE POTENTIAL DOWNSIDES OF EM PRACTICES, LIKE THE TIME AND COST IMPLICATIONS OF IDENTIFYING AND EXPLOITING OPPORTUNITIES (I.E., A NON-SIGNIFICANT THREE-WAY INTERACTION EFFECT).ORIGINALITY/VALUEUNIQUE INSIGHTS OUTLINE HOW DECISION-MAKERS IN SMALLER-SIZED ORGANIZATIONS CAN HARNESS THE POTENTIAL BENEFITS, AND MINIMISE THE LIKELY DRAWBACKS, OF EMPLOYING EM ACTIVITIES. HOWEVER, OWNER-MANAGERS SHOULD BE CAUTIOUS WHEN IMPLEMENTING THESE ORGANIZATION-WIDE PRACTICES, SINCE THEY ARE LIKELY TO ENHANCE PERFORMANCE, BUT ONLY UP TO A FIXED POINT. INDEED, EXCESSIVE FORMS OF EM ACTIVITIES CAN WEAKEN SMALL FIRMS' PERFORMANCE. A COUNTER-INTUITIVE POSITIVE MODERATION EFFECT REGARDING MARKET DYNAMISM CHALLENGES CERTAIN EARLIER FINDINGS. SPECIFICALLY, IN SOME DYNAMIC MARKET CONDITIONS, EM ACTIVITIES COULD BE PERFORMANCE-ENHANCING, SINCE CERTAIN ENVIRONMENTAL-LEVEL FORCES MIGHT ASSIST OWNER-MANAGERS TO AMPLIFY THE MERITS OF BEHAVIOR AT THE MEI WHEN IMPLEMENTED EFFECTIVELY.",2025.0,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-10-2024-1173,5.0,True,65208,4257569970,0,61,
9,,sap_leaf,100,"SUANDI E, 2023, J FINANC SERV MARK","EVALUATING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING, COMPETITIVE ADVANTAGE, AND ISLAMIC BANKS PERFORMANCE","THE PURPOSE OF THIS PAPER IS TO ANALYZE THE EFFECT OF ENTREPRENEURIAL MARKETING ON COMPETITIVE ADVANTAGE AND ISLAMIC BANK PERFORMANCE IN INDONESIA WITH THE MODERATING ROLE OF VIGILANT LEADERSHIP. WE USED A CONVENIENCE SAMPLING METHOD TO COLLECT DATA FROM 204 ISLAMIC BANK BRANCHES IN INDONESIA. TO TEST THE HYPOTHESES, WE EMPLOYED SMART-PARTIAL LEAST SQUARE (SMART-PLS) SOFTWARE. THE FINDINGS INDICATE THAT ENTREPRENEURIAL MARKETING DIRECTLY OR INDIRECTLY (THROUGH COMPETITIVE ADVANTAGE) INFLUENCES BANK PERFORMANCE. VIGILANT LEADERSHIP DOES NOT MODERATE THE INFLUENCE OF ENTREPRENEURIAL MARKETING ON BANK PERFORMANCE. THEREFORE, ISLAMIC BANKS IN INDONESIA NEED TO DEVELOP ENTREPRENEURIAL MARKETING PRACTICES TO INCREASE THEIR COMPETITIVE ADVANTAGE AND BANK PERFORMANCE. THIS STUDY IS THE FIRST TO EXAMINE THE EFFECT OF ENTREPRENEURIAL MARKETING ON ORGANIZATIONAL OUTCOMES IN ISLAMIC BANKING AND AMONG THE FIRST TO USE VIGILANT LEADERSHIP AS A RESEARCH VARIABLE IN THE BANKING CONTEXT.",2023.0,JOURNAL OF FINANCIAL SERVICES MARKETING,J FINANC SERV MARK,10.1057/s41264-022-00169-6,10.0,True,55852,3124156404,0,39,
10,,sap_leaf,100,"CRICK JM, 2025, J STRATEG MARK",MANAGING AN ENTREPRENEURIAL MARKETING ORIENTATION IN TURBULENT COMPETITIVE BUSINESS ENVIRONMENTS,"MIXED PRIOR FINDINGS EXIST CONCERNING THE RELATIONSHIP BETWEEN AN ENTREPRENEURIAL MARKETING ORIENTATION (EMO) AND SMALL-TO-MEDIUM-SIZED ENTERPRISES' (SMES') PERFORMANCE. THIS IS A PROBLEM, SINCE THE PERFORMANCE-ENHANCING CIRCUMSTANCES REMAIN UNCLEAR CONCERNING THE UTILITY OF DECISION-MAKERS EMPLOYING EMO BEHAVIOURS. THIS STUDY UNPACKS THE RELATIONSHIP BETWEEN AN EMO AND SMES' PERFORMANCE UNDER THE MODERATING ROLE OF MARKET DYNAMISM. SURVEY RESPONSES WERE COLLECTED FROM 916 SMES IN MALAYSIA, AND ALL MAJOR ROBUSTNESS CHECKS WERE ADDRESSED. THE FINDINGS SHOWED THAT CONSISTENT WITH MUCH OF THE EXISTING RESEARCH, AN EMO DROVE SMES' PERFORMANCE. IN CONTRAST, THIS LINK WAS POSITIVELY MODERATED BY MARKET DYNAMISM (A COUNTER-INTUITIVE RESULT). CONSEQUENTLY, THIS INVESTIGATION OFFERS UNIQUE INSIGHTS REGARDING THE CIRCUMSTANCES WHERE EFFECTIVELY MANAGING AN EMO IS LIKELY TO ASSIST SMES TO YIELD ENHANCED PERFORMANCE ACROSS DYNAMIC MARKETS. FURTHERMORE, IMPROVED EVIDENCE IS PROVIDED ABOUT THE OUTSIDE-THE-FIRM PERSPECTIVE OF RESOURCE-BASED THEORY, AS A LENS TO CONCEPTUALISE THE NUANCES OF EMO PRACTICES IN TURBULENT ENVIRONMENTS.",2025.0,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,10.1080/0965254X.2024.2445655,4.0,True,49483,2452735063,0,45,
