root_id,root_01,root_02,root_03,root_04,root_05,root_06,root_07,root_08,root_09,root_10,root_11,root_12,root_13,root_14,root_15,root_16,root_17,root_18,root_19,root_20
root_01,1.0,0.189472,0.284532,0.064204,0.035427,0.039519,0.137423,0.062913,0.052326,0.16119,0.097284,0.116832,0.022079,0.147542,0.233412,0.2077,0.136815,0.088521,0.039823,0.054286
root_02,0.189472,1.0,0.161468,0.0,0.0,0.055715,0.030089,0.0,0.037302,0.078219,0.067752,0.080025,0.01294,0.029702,0.178622,0.131966,0.085557,0.058016,0.0,0.050907
root_03,0.284532,0.161468,1.0,0.038122,0.042572,0.098015,0.020981,0.026361,0.026011,0.184905,0.178963,0.133216,0.086494,0.08613,0.26367,0.270712,0.121066,0.12106,0.027687,0.080038
root_04,0.064204,0.0,0.038122,1.0,0.055836,0.011461,0.038449,0.028191,0.0,0.028614,0.011814,0.027676,0.040157,0.125833,0.071789,0.043244,0.030434,0.0,0.008832,0.014557
root_05,0.035427,0.0,0.042572,0.055836,1.0,0.028702,0.017237,0.024151,0.0,0.050034,0.062143,0.083696,0.046963,0.027201,0.045929,0.035383,0.04917,0.015863,0.052715,0.121535
root_06,0.039519,0.055715,0.098015,0.011461,0.028702,1.0,0.235041,0.042205,0.029917,0.0,0.117658,0.035722,0.403436,0.17451,0.084009,0.043229,0.056573,0.025792,0.040417,0.285874
root_07,0.137423,0.030089,0.020981,0.038449,0.017237,0.235041,1.0,0.042515,0.051649,0.018606,0.020956,0.037315,0.122476,0.164014,0.039785,0.030651,0.027414,0.025435,0.057623,0.245239
root_08,0.062913,0.0,0.026361,0.028191,0.024151,0.042205,0.042515,1.0,0.008456,0.008866,0.006288,0.052425,0.014167,0.032849,0.019594,0.018305,0.029277,0.015138,0.044145,0.152412
root_09,0.052326,0.037302,0.026011,0.0,0.0,0.029917,0.051649,0.008456,1.0,0.0,0.01819,0.108718,0.0,0.0,0.064231,0.021832,0.018457,0.015576,0.0,0.016401
root_10,0.16119,0.078219,0.184905,0.028614,0.050034,0.0,0.018606,0.008866,0.0,1.0,0.092105,0.105159,0.014571,0.048398,0.153126,0.226866,0.105227,0.042399,0.0,0.03318
root_11,0.097284,0.067752,0.178963,0.011814,0.062143,0.117658,0.020956,0.006288,0.01819,0.092105,1.0,0.039024,0.08206,0.090591,0.10422,0.199835,0.077884,0.037728,0.013875,0.0977
root_12,0.116832,0.080025,0.133216,0.027676,0.083696,0.035722,0.037315,0.052425,0.108718,0.105159,0.039024,1.0,0.020853,0.050535,0.1961,0.104812,0.125688,0.055707,0.015865,0.132789
root_13,0.022079,0.01294,0.086494,0.040157,0.046963,0.403436,0.122476,0.014167,0.0,0.014571,0.08206,0.020853,1.0,0.143021,0.064895,0.045446,0.063963,0.01081,0.026606,0.190385
root_14,0.147542,0.029702,0.08613,0.125833,0.027201,0.17451,0.164014,0.032849,0.0,0.048398,0.090591,0.050535,0.143021,1.0,0.065475,0.103879,0.064111,0.025795,0.018564,0.065114
root_15,0.233412,0.178622,0.26367,0.071789,0.045929,0.084009,0.039785,0.019594,0.064231,0.153126,0.10422,0.1961,0.064895,0.065475,1.0,0.208728,0.136484,0.090706,0.027906,0.087837
root_16,0.2077,0.131966,0.270712,0.043244,0.035383,0.043229,0.030651,0.018305,0.021832,0.226866,0.199835,0.104812,0.045446,0.103879,0.208728,1.0,0.172369,0.134609,0.010043,0.048163
root_17,0.136815,0.085557,0.121066,0.030434,0.04917,0.056573,0.027414,0.029277,0.018457,0.105227,0.077884,0.125688,0.063963,0.064111,0.136484,0.172369,1.0,0.043781,0.008288,0.045129
root_18,0.088521,0.058016,0.12106,0.0,0.015863,0.025792,0.025435,0.015138,0.015576,0.042399,0.037728,0.055707,0.01081,0.025795,0.090706,0.134609,0.043781,1.0,0.035857,0.052356
root_19,0.039823,0.0,0.027687,0.008832,0.052715,0.040417,0.057623,0.044145,0.0,0.0,0.013875,0.015865,0.026606,0.018564,0.027906,0.010043,0.008288,0.035857,1.0,0.104802
root_20,0.054286,0.050907,0.080038,0.014557,0.121535,0.285874,0.245239,0.152412,0.016401,0.03318,0.0977,0.132789,0.190385,0.065114,0.087837,0.048163,0.045129,0.052356,0.104802,1.0
