trunk_id,trunk_01,trunk_02,trunk_03,trunk_04,trunk_05,trunk_06,trunk_07,trunk_08,trunk_09,trunk_10,trunk_11,trunk_12,trunk_13,trunk_14,trunk_15,trunk_16,trunk_17,trunk_18,trunk_19,trunk_20
trunk_01,1.0,0.15907,0.195142,0.241661,0.284479,0.237776,0.047085,0.223403,0.060576,0.13802,0.057478,0.071241,0.14105,0.034791,0.049616,0.159017,0.102169,0.116104,0.100964,0.07195
trunk_02,0.15907,1.0,0.336956,0.13056,0.155598,0.151134,0.058887,0.181646,0.128853,0.274975,0.117501,0.121821,0.159334,0.127183,0.081624,0.137685,0.177351,0.111374,0.15233,0.137298
trunk_03,0.195142,0.336956,1.0,0.174366,0.209948,0.177972,0.078278,0.270718,0.105167,0.228354,0.086282,0.077889,0.148567,0.07898,0.054829,0.170654,0.120642,0.139372,0.161629,0.093349
trunk_04,0.241661,0.13056,0.174366,1.0,0.324007,0.26376,0.077548,0.187336,0.066865,0.142405,0.09382,0.013354,0.17855,0.067038,0.031536,0.166363,0.085676,0.10711,0.097663,0.071747
trunk_05,0.284479,0.155598,0.209948,0.324007,1.0,0.212332,0.08437,0.256401,0.075314,0.181942,0.098746,0.043285,0.176058,0.046926,0.051023,0.171927,0.093258,0.13825,0.091607,0.098421
trunk_06,0.237776,0.151134,0.177972,0.26376,0.212332,1.0,0.058965,0.2265,0.052605,0.148249,0.102429,0.043588,0.158285,0.055525,0.025675,0.213547,0.104873,0.12212,0.132477,0.050853
trunk_07,0.047085,0.058887,0.078278,0.077548,0.08437,0.058965,1.0,0.038765,0.249022,0.05313,0.206623,0.063788,0.042407,0.046577,0.088392,0.060934,0.065372,0.105776,0.163748,0.077207
trunk_08,0.223403,0.181646,0.270718,0.187336,0.256401,0.2265,0.038765,1.0,0.046489,0.161456,0.058184,0.066774,0.144385,0.041587,0.051665,0.169885,0.093425,0.136575,0.084015,0.061053
trunk_09,0.060576,0.128853,0.105167,0.066865,0.075314,0.052605,0.249022,0.046489,1.0,0.145904,0.212224,0.146504,0.043242,0.162626,0.089444,0.054237,0.126595,0.130648,0.208645,0.113856
trunk_10,0.13802,0.274975,0.228354,0.142405,0.181942,0.148249,0.05313,0.161456,0.145904,1.0,0.124147,0.133612,0.123354,0.154695,0.111087,0.149487,0.132023,0.122761,0.15391,0.163877
trunk_11,0.057478,0.117501,0.086282,0.09382,0.098746,0.102429,0.206623,0.058184,0.212224,0.124147,1.0,0.231057,0.055468,0.185426,0.036043,0.057949,0.115778,0.072437,0.245958,0.166503
trunk_12,0.071241,0.121821,0.077889,0.013354,0.043285,0.043588,0.063788,0.066774,0.146504,0.133612,0.231057,1.0,0.095287,0.169721,0.055872,0.045193,0.128552,0.046644,0.153959,0.140369
trunk_13,0.14105,0.159334,0.148567,0.17855,0.176058,0.158285,0.042407,0.144385,0.043242,0.123354,0.055468,0.095287,1.0,0.038583,0.048099,0.148057,0.160032,0.100449,0.086318,0.05003
trunk_14,0.034791,0.127183,0.07898,0.067038,0.046926,0.055525,0.046577,0.041587,0.162626,0.154695,0.185426,0.169721,0.038583,1.0,0.048766,0.058234,0.17906,0.033165,0.195607,0.187338
trunk_15,0.049616,0.081624,0.054829,0.031536,0.051023,0.025675,0.088392,0.051665,0.089444,0.111087,0.036043,0.055872,0.048099,0.048766,1.0,0.109841,0.066504,0.044439,0.077489,0.049503
trunk_16,0.159017,0.137685,0.170654,0.166363,0.171927,0.213547,0.060934,0.169885,0.054237,0.149487,0.057949,0.045193,0.148057,0.058234,0.109841,1.0,0.107259,0.094295,0.071103,0.130949
trunk_17,0.102169,0.177351,0.120642,0.085676,0.093258,0.104873,0.065372,0.093425,0.126595,0.132023,0.115778,0.128552,0.160032,0.17906,0.066504,0.107259,1.0,0.055267,0.13616,0.1339
trunk_18,0.116104,0.111374,0.139372,0.10711,0.13825,0.12212,0.105776,0.136575,0.130648,0.122761,0.072437,0.046644,0.100449,0.033165,0.044439,0.094295,0.055267,1.0,0.090139,0.057886
trunk_19,0.100964,0.15233,0.161629,0.097663,0.091607,0.132477,0.163748,0.084015,0.208645,0.15391,0.245958,0.153959,0.086318,0.195607,0.077489,0.071103,0.13616,0.090139,1.0,0.106872
trunk_20,0.07195,0.137298,0.093349,0.071747,0.098421,0.050853,0.077207,0.061053,0.113856,0.163877,0.166503,0.140369,0.05003,0.187338,0.049503,0.130949,0.1339,0.057886,0.106872,1.0
